      XGAUSS          WGAUSS
343 : 9.7468e-001     1.7541e-003
344 : -9.7468e-001     1.7541e-003
345 : 9.7640e-001     1.6940e-003
346 : -9.7640e-001     1.6940e-003
347 : 9.7807e-001     1.6339e-003
348 : -9.7807e-001     1.6339e-003
349 : 9.7967e-001     1.5737e-003
350 : -9.7967e-001     1.5737e-003
351 : 9.8121e-001     1.5133e-003
352 : -9.8121e-001     1.5133e-003
353 : 9.8270e-001     1.4529e-003
354 : -9.8270e-001     1.4529e-003
355 : 9.8412e-001     1.3924e-003
356 : -9.8412e-001     1.3924e-003
357 : 9.8548e-001     1.3318e-003
358 : -9.8548e-001     1.3318e-003
359 : 9.8678e-001     1.2711e-003
360 : -9.8678e-001     1.2711e-003
361 : 9.8802e-001     1.2104e-003
362 : -9.8802e-001     1.2104e-003
363 : 9.8920e-001     1.1496e-003
364 : -9.8920e-001     1.1496e-003
365 : 9.9032e-001     1.0887e-003
366 : -9.9032e-001     1.0887e-003
367 : 9.9138e-001     1.0277e-003
368 : -9.9138e-001     1.0277e-003
369 : 9.9238e-001     9.6665e-004
370 : -9.9238e-001     9.6665e-004
371 : 9.9331e-001     9.0556e-004
372 : -9.9331e-001     9.0556e-004
373 : 9.9419e-001     8.4441e-004
374 : -9.9419e-001     8.4441e-004
375 : 9.9500e-001     7.8321e-004
376 : -9.9500e-001     7.8321e-004
377 : 9.9575e-001     7.2197e-004
378 : -9.9575e-001     7.2197e-004
379 : 9.9645e-001     6.6068e-004
380 : -9.9645e-001     6.6068e-004
381 : 9.9708e-001     5.9934e-004
382 : -9.9708e-001     5.9934e-004
383 : 9.9764e-001     5.3797e-004
384 : -9.9764e-001     5.3797e-004
385 : 9.9815e-001     4.7657e-004
386 : -9.9815e-001     4.7657e-004
387 : 9.9860e-001     4.1514e-004
388 : -9.9860e-001     4.1514e-004
389 : 9.9898e-001     3.5368e-004
390 : -9.9898e-001     3.5368e-004
391 : 9.9931e-001     2.9221e-004
392 : -9.9931e-001     2.9221e-004
393 : 9.9957e-001     2.3071e-004
394 : -9.9957e-001     2.3071e-004
395 : 9.9977e-001     1.6920e-004
396 : -9.9977e-001     1.6920e-004
397 : 9.9991e-001     1.0769e-004
398 : -9.9991e-001     1.0769e-004
399 : 9.9998e-001     4.6264e-005
